id	author	documents	citations	total link strength
1428	"song, yukyeong"	1	4	0
1429	"songpan, wararat"	1	0	0
1430	"soon, benjamin tze chin"	1	0	0
1431	"sophia, j.jinu"	1	21	0
1432	"sosnowski, tomasz"	1	1	0
1433	"soundappan, m."	1	0	0
1434	"sousa, armando"	1	0	0
1435	"sousa, josé"	1	3	0
1436	"sousa, lino"	1	0	0
1437	"southerland, sherry"	1	1	0
1438	"southerland, sherry a."	1	3	0
1439	"spirgi, lukas"	1	15	0
1440	"sridar, ramamurti"	1	18	0
1441	"sridhar, mukund harakere"	1	18	0
1442	"stahl, bernd carsten"	1	1502	0
1443	"stamper, john"	1	0	0
1444	"stanica, iulia"	1	32	0
1445	"stankovski, vlado"	1	165	0
1446	"stansfield, kim"	1	3	0
1447	"starčič, andreja istenič"	1	6	0
1448	"stefanics, daniela"	1	7	0
1449	"steglich, jonas"	1	0	0
1450	"stephen, caleb"	1	0	0
1451	"stewart, nicola"	1	9	0
1452	"stoevesandt, dietrich"	1	0	0
1453	"stöhr, christian"	1	6	0
1454	"su, hanyu"	1	0	0
1455	"subasinghe, s.g.t.s."	1	3	0
1456	"subbareddy, rama"	1	31	0
1457	"subramani, swathi"	1	0	0
1458	"suciati, sri"	1	0	0
1459	"sugandhi, rekha"	1	1	0
1460	"suhonen, jarkko"	1	10	0
1461	"sukale, vaibhav"	1	0	0
1462	"sulaymanova, sevara"	1	0	0
1463	"sultana, jakia"	1	11	0
1464	"sun, dan"	1	15	0
1465	"sun, huihui"	1	0	0
1466	"sundari, a m anjana"	1	3	0
1467	"surendra, hithaishi"	1	3	0
1468	"swaity, hadeel"	1	23	0
1469	"swathi, m."	1	0	0
1470	"swathi, r.s.v. rama"	1	0	0
1471	"syed zainal ariffin, syed mohd zahid"	1	0	0
1472	"syed, madiha"	1	2	0
1473	"syzdykbayeva, aigul"	1	2	0
1474	"szeliga, marcin"	1	0	0
1475	"szuts, zoltan"	1	111	0
1476	"szécsi, lászló"	1	1	0
1477	"sánchez-alonso, salvador"	1	15	0
1478	"sánchez-reina, j. roberto"	1	0	0
1479	"sánchez-ticona, robert j."	1	0	0
1480	"sánchez-viteri, santiago"	1	21	0
1481	"söderström, ulrik"	1	0	0
1482	"sültmann, holger"	1	33	0
1483	"tabunshchyk, viktoriya"	1	52	0
1484	"tachie-menson, akosua"	1	120	0
1485	"tack, anaïs"	1	45	0
1486	"taiye, mohammed"	1	0	0
1487	"takala, aleksi"	1	2	0
1488	"talbot, thomas b."	1	63	0
1489	"tan, chee wei"	2	4	0
1490	"tan, lizhen"	1	18	0
1491	"tanaka, mikiko sode"	1	1	0
1492	"taneja, karan"	2	3	0
1493	"tang, chun meng"	2	1	7
1494	"tang, chung man"	1	1	0
1495	"tang, tiantian"	1	5	0
1496	"tareq, mehedi hasan"	1	11	0
1497	"tasnim, syeda tasfia"	1	1	0
1498	"tasoglu, savas"	1	1	0
1499	"tatiana, baranova"	1	0	0
1500	"taylor, z.w."	1	0	0
1501	"tegoan, noura"	1	0	0
1502	"tejpal moharekar, tejashree"	1	0	0
1503	"temperini, marco"	1	3	0
1504	"teng, daniel chia-en"	1	4	0
1505	"teo, ying qian lydia"	1	2	0
1506	"thakore, riya"	1	58	0
1507	"thakur, raj"	1	0	0
1508	"thang, le dinh"	1	116	0
1509	"thangamuthu, priyanka"	1	0	0
1510	"thews, oliver"	1	0	0
1511	"thiel, carolin"	1	0	0
1512	"thomas, danielle r."	1	0	0
1513	"thomas, juanith mathew"	1	0	0
1514	"thomas, lims"	1	4	0
1515	"thongda, nattha"	1	0	0
1516	"tian, mingyan claire"	1	2	0
1517	"tian, xiaoyi"	1	4	0
1518	"tick, andrea"	1	0	0
1519	"tiganoaia, bogdan"	1	0	0
1520	"tithi, farhana sharmin"	1	28	0
1521	titiksha	1	8	0
1522	"tiwari, manoj kumar"	1	1502	0
1523	"tiwari, shaurya"	1	2	0
1524	"tiwari, shrikant"	1	0	0
1525	"tleumagambetova, danara"	1	1	0
1526	"tlili, ahmed"	1	646	2
1527	"tomičić, ivan"	1	0	0
1528	"tong, yixin"	1	0	0
1529	"tope-oke, adebusola m."	1	0	0
1530	"tori, romero"	1	1	0
1531	"torres-cruz, fred"	1	0	0
1532	"torres-villanueva, marcelino"	1	0	0
1533	"toutziaridi, amalia christina"	1	0	0
1534	"trac, linh"	1	7	0
1535	"tran, thanh tu"	1	0	0
1536	"traore, ibrahim"	1	1	0
1537	"triberti, stefano"	1	4	0
1538	"triefenbach, fabian"	1	18	0
1539	"troussas, christos"	1	1	0
1540	"tsivitanidou, olia"	1	16	0
1541	"tudor, ruth"	1	16	0
1542	"tukiainen, markku"	1	10	0
1543	"tur, gokhan"	1	18	0
1544	"tuteja, sonal"	1	0	0
1545	"tuychibaeva, shakhnoza"	1	0	0
1546	"tyagi, amit kumar"	1	0	0
1547	"udandarao, v."	1	17	0
1548	"ueno, noboru"	1	3	0
1549	"uhlig, steve"	1	165	0
1550	"ulbricht, vania ribas"	1	0	0
1551	"ullmann, stefan"	1	1	0
1552	"umek, lan"	1	1	0
1553	"ungarala, devi prasad"	1	2	0
1554	"upender, maloth"	1	0	0
1555	"upravitelev, max"	1	1	0
1556	"upreti, yatendra prasad"	1	0	0
1557	"ursuțiu, doru"	1	0	0
1558	"usmanova, aziza"	1	0	0
1559	"usmonova, dono"	1	0	0
1560	"vaitheeshwari, s."	1	0	0
1561	"valenzuela, fernando"	1	8	0
1562	"valtolina, stefano"	1	1	0
1563	"vamsi, k sai"	1	0	0
1564	"van brummelen, jessica"	2	54	0
1565	"van den beemt, antoine"	1	3	0
1566	"van der aalst, wil"	1	1502	0
1567	"van meeuwen, ludo w."	1	3	0
1568	"van poucke, margo"	1	1	0
1569	"van verma, suraj"	1	0	0
1570	"vani, reeya"	1	7	0
1571	"vargas-murillo, alfonso renato"	1	6	0
1572	"varshitha, d.r."	1	7	0
1573	"vartiainen, henriikka"	1	10	0
1574	"vasireddy, bhavana"	1	4	0
1575	"vazquez, maikel yelandi leyva"	1	3	0
1576	"vedamanickam, nirmala"	1	5	0
1577	"veemaraj, ebenezer"	1	0	0
1578	"velander, johanna"	1	0	0
1579	"venkatesh, viswanath"	1	1502	0
1580	"verovko, mariya"	1	16	0
1581	"verovko, oleksandr"	1	16	0
1582	"viddy, arkas"	1	0	0
1583	"vierhauser, michael"	1	0	0
1584	"viglia, giampaolo"	1	1502	0
1585	"vignesh, t."	1	4	0
1586	"villar-vega, hernan francisco"	1	2	0
1587	"villegas-ch, william"	4	202	0
1588	vinita	1	7	0
1589	"vishwakarma, santosh kumar"	1	0	0
1590	"vivanco, ana ojeda"	1	0	0
1591	"vivethika, c."	1	0	0
1592	"vlachopoulos, dimitrios"	1	120	0
1593	"vogel, bahtijar"	1	55	0
1594	"vrecar, rafael"	1	2	0
1595	"vuorio, emmi"	1	2	0
1596	"vásquez, yaneth"	1	8	0
1597	"véliz, josé carlos"	1	0	0
1598	"wade, michael"	1	1502	0
1599	"wadhawan, isha"	1	7	0
1600	"wagh, devendra"	1	0	0
1601	"waghmare, anuja"	1	0	0
1602	"wagner, felix"	2	1	16
1603	"wagner, stefan"	1	0	0
1604	"walls, christopher"	1	20	0
1605	"walton, paul"	1	1502	0
1606	"waltzer, tal"	1	21	0
1607	"wang, bin"	2	14	0
1608	"wang, bo"	1	0	0
1609	"wang, fu lee"	1	0	0
1610	"wang, guangguang"	1	1	0
1611	"wang, haipeng"	1	5	0
1612	"wang, hong"	1	5	0
1613	"wang, jen-hang"	1	0	0
1614	"wang, jieyu"	1	0	0
1615	"wang, ming"	1	0	0
1616	"wang, minkai"	1	0	0
1617	"wang, qiaosi"	1	68	0
1618	"wang, quincy q."	1	64	0
1619	"wang, ting"	1	336	0
1620	"wang, weiran"	1	0	0
1621	"wang, xinyuan"	1	0	0
1622	"wang, yuchen"	1	0	0
1623	"wang, ziang"	1	336	0
1624	"wangsa, ketmanto"	1	1	0
1625	"wannapiroon, panita"	1	7	0
1626	"wardat, yousef"	1	7	0
1627	"wardhana, calista syifa putri"	1	1	0
1628	"warsah, idi"	1	0	0
1629	"washington, gloria j."	1	5	0
1630	"watanabe, alice"	1	0	0
1631	"watters, jacob"	1	2	0
1632	"weerakoon, chinthanie"	1	1	0
1633	"weerasinghe, esa"	1	1	0
1634	"wei, johnny tian-zheng"	1	27	0
1635	"wei, pan"	1	18	0
1636	"weinberger, armin"	1	0	0
1637	"weiss, astrid"	1	2	0
1638	"weisz, justin d."	1	28	0
1639	"west, luke"	2	4	0
1640	"wibowo, santoso"	2	6	0
1641	"wieser, markus"	1	7	0
1642	"wijayawardena, g.c.s."	1	3	0
1643	"wijono, sutarto"	1	19	0
1644	"wilde, shawn"	1	18	0
1645	"wilder, bryan"	1	20	0
1646	"williams, joseph jay"	2	27	0
1647	"wilson, ann"	1	5	0
1648	"wirtz, jochen"	1	1502	0
1649	wiyaka	1	0	0
1650	"woessner, philipp"	1	33	0
1651	"wollny, sebastian"	1	0	0
1652	"wong, josiah"	1	20	0
1653	"woodfield, casey"	1	0	0
1654	"woolf, beverly park"	1	13	0
1655	"wright, ryan"	1	1502	0
1656	"wrzalik, artur"	1	3	0
1657	"wu, huaming"	1	165	0
1658	"wu, rouyi"	1	4	0
1659	"wu, ting-ting"	2	18	0
1660	"xiao, ruiwei"	1	0	0
1661	"xie, haoran"	1	0	0
1662	"xie, zhengbo"	1	0	0
1663	"xu, minxian"	1	165	0
1664	"xu, simin"	1	0	0
1665	"xu, yeqing"	1	0	0
1666	"yadav, r.k."	1	17	0
1667	"yadlapally, dhanush kumar"	1	4	0
1668	"yameogo, rasmane"	1	1	0
1669	"yang, chen"	1	0	0
1670	"yang, qiaohong"	1	5	0
1671	"yang, rongbin"	1	0	0
1672	"yang, shanshan"	2	80	0
1673	"yang, song"	1	2	0
1674	"yang, su-hang"	1	0	0
1675	"yang, xinrong"	1	1	0
1676	"yang, yiling"	1	0	0
1677	"yankova, aglika"	1	6	0
1678	"yankova, tania"	1	31	0
1679	"yao, chun-kai"	1	13	0
1680	"yassine, fatima ezzahra"	1	0	0
1681	"yeo, sheunghyun"	2	56	0
1682	"yeo, yue heng"	1	0	0
1683	"yetisen, ail k."	1	1	0
1684	"yigci, defne"	1	1	0
1685	"yildiz, daniela"	1	0	0
1686	"yonekura, riki"	1	1	0
1687	"yordanova, kristina"	1	1	0
1688	"youness, saadna"	1	0	0
1689	"yu, haiyang"	1	18	0
1690	"yu, philip leung ho"	1	0	0
1691	"yu, qicheng"	1	6	0
1692	"yu, xinguo"	1	0	0
1693	"yu, zhong gen"	1	2	0
1694	"yu, zhonggen"	1	67	0
1695	"yuan, xiaojun"	1	3	0
1696	"yuan, xin"	2	4	0
1697	"yuan, yijia"	1	17	3
1698	"yuen, joe c.h."	1	1	0
1699	"yusof, ahmad fadhil"	1	107	0
1700	"zain, dodi siraj muamar"	1	12	0
1701	"zaki, nazar"	1	6	0
1702	"zamiechowska, joanna"	1	2	0
1703	"zangogianni, paraskevi"	1	93	0
1704	"zarate-perez, eliseo"	1	1	0
1705	"zhai, chunpeng"	1	6	0
1706	"zhai, xiaoming"	1	19	0
1707	"zhang, jie"	1	0	0
1708	"zhang, liyan"	1	0	0
1709	"zhang, nuodi"	1	3	0
1710	"zhang, xinyi"	1	0	0
1711	"zhao, aiden"	1	3	0
1712	"zhao, hongying"	1	0	0
1713	"zhao, jing"	1	0	0
1714	"zheng, shuai"	1	18	0
1715	"zheng, shuyan"	1	1	0
1716	"zheng, yangsheng (danson)"	1	9	0
1717	"zheng, yuanjie"	1	5	0
1718	"zhong, yuchun"	2	45	0
1719	"zhou, xinyan"	1	0	1
1720	"zhu, chengcong"	1	15	0
1721	"zhu, jingdong"	1	0	0
1722	"zhu, tianjie"	1	7	0
1723	"zhuang, min"	1	8	0
1724	"zhuo, ziqing"	1	17	0
1725	"zikic, simona"	1	19	0
1726	"zimmermann, alfred"	1	3	0
1727	"zine-dine, khalid"	1	1	0
1728	"zolfaghari, zahra"	1	0	0
1729	"zou, di"	1	0	0
1730	"östberg, ann-sofie"	1	5	0
1731	"üsküdar, tarkan"	1	0	0
1732	"činčera, jan"	1	7	0
1733	"šarčević, antonia"	1	0	0
1734	"šedlbauer, josef"	1	7	0
