id	author	documents	citations	total link strength
903	"mageira, kleopatra"	1	93	0
904	"mahmud, saadman"	1	11	0
905	"maia, paulo henrique m."	1	5	0
906	"maiti, pratyusha"	2	3	0
907	"makhmudova, nargiza"	1	0	0
908	"maksimova, alisa"	1	2	0
909	"malathi, s."	1	1	0
910	"malik, f. tegwen"	1	1502	0
911	"mallari, tanner"	1	3	0
912	"malmström, hans"	1	6	0
913	"mamo, yoseph"	1	5	0
914	"manathunga, kalpani"	1	1	0
915	"manfredi, gilda"	1	5	0
916	"manic, milos"	1	27	0
917	"manman, luo"	1	0	0
918	"mannuru, nishith reddy"	1	336	0
919	"manohara, h.t."	1	0	0
920	"mansor, evi indriasari"	1	6	0
921	"manzocco, mario"	1	0	0
922	"manzotti, alessandro"	1	18	0
923	"mao, zhongyang"	1	5	0
924	"maphosa, mfowabo"	1	26	0
925	"maphosa, vusumuzi"	1	26	0
926	"marchena sekli, giulio f."	1	0	0
927	"mardani, abbas"	1	1502	0
928	"marghitu, daniela"	1	4	0
929	"marhaban, mohammad hamiruce"	1	6	0
930	"mariani, marcello"	1	1502	0
931	"marimganti, madhumitha"	1	4	0
932	"mariscal-vivas, gonzalo"	1	0	0
933	"marks, jenna"	1	6	0
934	"marquez-hernandez, rommy"	1	10	0
935	"marquès puig, joan manuel"	1	3	0
936	"marsico, emanuele"	1	4	0
937	"martin, christopher"	1	1	0
938	"martin, florence"	1	8	0
939	"martinez, miguel angel quiroz"	1	3	0
940	"martins, alan rabelo"	1	5	0
941	"martín-ramallal, pablo"	1	15	0
942	"martínez-requejo, sonia"	1	0	0
943	"mary, s. suma christal"	1	0	0
944	"mas, antonia"	1	2	0
945	"masson, eloisa toffano seidel"	1	1	0
946	"matamoros, ricardo anibal"	1	1	0
947	"matar, khaled"	1	0	0
948	"mathew, ann neethu"	1	23	0
949	"mathew, joel"	1	0	0
950	"mathur, a."	1	17	0
951	"mayer, richard e."	1	77	0
952	"mazher, noman"	1	19	0
953	"mckenna, h. patricia"	1	14	0
954	"mcklin, tom"	1	4	0
955	"mclaren, bruce m."	2	218	0
956	"mctear, michael f."	1	0	0
957	"md moheuddin, mir"	1	28	0
